"都道府県コード又は市区町村コード","都道府県名","市区町村名","名称","名称_カナ","名称_英語","住所","設置位置","車いす使用者用トイレ","男子大便器洋式","男子大便器和式","男子小便器","女子便器洋式","女子便器和式","共用便器洋式","共用便器和式","トイレットペーパー","ベビーシート","ベビーチェア","オストメイト","備考","経度","緯度","分類"
"131148","東京都","中野区","そろの木公園","ソロノキコウエン","","中野区白鷺2-38","園内","","","","","","","","1","あり","なし","なし","なし","","139.635394893562","35.7207790764288","公衆トイレ一覧"
"131148","東京都","中野区","あじさい公園","アジサイコウエン","","中野区中野5-34","園内","1","","","1","","","","","あり","なし","なし","なし","","139.667772351112","35.7072457949975","公衆トイレ一覧"
"131148","東京都","中野区","たんぽぽ公園","タンポポコウエン","","中野区野方2-61","園内","1","","","1","","","","","あり","なし","なし","なし","","139.654775133367","35.714593716122","公衆トイレ一覧"
"131148","東京都","中野区","すみれ公園","スミレコウエン","","中野区中野5-5","園内","","","","","","","","2","あり","なし","なし","なし","","139.671660514477","35.7090723642241","公衆トイレ一覧"
"131148","東京都","中野区","くるみ公園","クルミコウエン","","中野区野方5-28","園内","","","","","","","","1","あり","なし","なし","なし","","139.653287042201","35.7195389808738","公衆トイレ一覧"
"131148","東京都","中野区","れんげ公園","レンゲコウエン","","中野区弥生町5-8","園内","1","","","","","","","","あり","なし","なし","なし","","139.665071967683","35.6887833185381","公衆トイレ一覧"
"131148","東京都","中野区","若の芽公園","ワカノメコウエン","","中野区本町1-5","園内","","","","","","","","1","あり","なし","なし","なし","","139.683304340984","35.6928453365486","公衆トイレ一覧"
"131148","東京都","中野区","みどり公園","ミドリコウエン","","中野区東中野3-11","園内","","","","","","","","1","あり","なし","なし","なし","","139.682687816861","35.7085587403648","公衆トイレ一覧"
"131148","東京都","中野区","いちょう公園","イチョウコウエン","","中野区中央4-50","園内","","","","","","","","1","あり","なし","なし","なし","","139.669385720611","35.7022714773871","公衆トイレ一覧"
"131148","東京都","中野区","ゆりの木公園","ユリノキコウエン","","中野区中央1-20","園内","","","","","","","","1","あり","なし","なし","なし","","139.686649272971","35.698809664729","公衆トイレ一覧"
"131148","東京都","中野区","ぱんだ公園","パンダコウエン","","中野区弥生町3-34","園内","1","","","1","","","","","あり","あり","あり","専用流し","","139.674560524816","35.6892047823036","公衆トイレ一覧"
"131148","東京都","中野区","おたき公園","オタキコウエン","","中野区東中野5-23","園内","","","","","","","","1","あり","なし","なし","なし","","139.69208053385","35.7101139802985","公衆トイレ一覧"
"131148","東京都","中野区","昭三公園","ショウサンコウエン","","中野区中野5-41","園内","","","","","","","","1","あり","なし","なし","なし","","139.668129549618","35.7096261641216","公衆トイレ一覧"
"131148","東京都","中野区","みつわ公園","ミツワコウエン","","中野区若宮1-42","園内","","","","","","","","1","あり","なし","なし","なし","","139.647449023666","35.7188033876195","公衆トイレ一覧"
"131148","東京都","中野区","文園西公園","フミゾノニシコウエン","","中野区中野6-23","園内","","","","","","","","1","あり","なし","なし","なし","","139.674526209953","35.7065822494582","公衆トイレ一覧"
"131148","東京都","中野区","松が丘公園","マツガオカコウエン","","中野区松が丘1-2","園内","","","","","","","","1","あり","なし","なし","なし","","139.671228626868","35.7172760545576","公衆トイレ一覧"
"131148","東京都","中野区","みずき公園","ミズキコウエン","","中野区中央2-54","園内","","","","","","","","1","あり","なし","なし","なし","","139.6758151451","35.7006987896395","公衆トイレ一覧"
"131148","東京都","中野区","弥生二丁目公園","ヤヨイチョウニチョウメコウエン","","中野区弥生町2-19","園内","1","","","1","","","","","あり","なし","なし","なし","","139.674694121641","35.6909015365455","公衆トイレ一覧"
"131148","東京都","中野区","新井東公園","アライヒガシコウエン","","中野区新井1-19","園内","1","","","1","","","","","あり","あり","なし","専用流し","","139.668301751069","35.7117574489742","公衆トイレ一覧"
"131148","東京都","中野区","上町公園","カミチョウコウエン","","中野区中央4-36","園内","1","","","1","","","","","あり","あり","あり","便器に水栓併設","","139.67026072592","35.701163003395","公衆トイレ一覧"
"131148","東京都","中野区","南台三丁目公園","ミナミダイサンチョウメコウエン","","中野区南台3-41","園内","1","1","","1","1","","","","あり","あり","あり","専用流し","","139.663625080882","35.6824706030013","公衆トイレ一覧"
"131148","東京都","中野区","上高田三丁目公園","カミタカダサンチョウメコウエン","","中野区上高田3-10","園内","","","","","","","","1","あり","なし","なし","なし","","139.675528916707","35.7135091884978","公衆トイレ一覧"
