"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_英語","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","設置位置","緯度","経度","高度の種別","高度の値","男性トイレ総数","男性トイレ数（小便器）","男性トイレ数（和式）","男性トイレ数（洋式）","女性トイレ総数","女性トイレ数（和式）","女性トイレ数（洋式）","男女共用トイレ総数","男女共用トイレ数（和式）","男女共用トイレ数（洋式）","バリアフリートイレ数","車椅子使用者用トイレ有無","乳幼児用設備設置トイレ有無","オストメイト設置トイレ有無","利用開始時間","利用終了時間","利用可能時間特記事項","画像","画像_ライセンス","備考"
"131083","131083C00031","江東区","江東区立古石場三丁目公園内公衆便所","コウトウクリツフルイシバサンチョウメコウエンナイコウシュウベンジョ","Public_toilet_in_Furuishiba3-Park_KotoCity","131083","","東京都江東区古石場3-1-4","東京都","江東区","古石場3丁目","1-4","","古石場三丁目公園内","35.665059","139.801555","","","1","1","0","0","0","0","0","0","0","0","1","有","有","有","00:00:00","23:59:00","","","",""
"131083","131083C00032","江東区","江東区立越中島公園内公衆便所","コウトウクリツエッチュウジマコウエンナイコウシュウベンジョ","Public_toilet_in_Etchujima-Park_KotoCity","131083","","東京都江東区越中島1-3-23","東京都","江東区","越中島1丁目","3-23","","越中島プール際","35.668658","139.790019","","","3","2","1","0","1","1","0","0","0","0","0","有","無","無","00:00:00","23:59:00","","","",""
"131083","131083C00033","江東区","江東区立越中島公園内第二公衆便所","コウトウクリツエッチュウジマコウエンナイダイニコウシュウベンジョ","Public_toilet_in_Etchujima-Park_KotoCity","131083","","東京都江東区越中島1-3-23","東京都","江東区","越中島1丁目","3-23","","越中島公園内中央部","35.670967","139.788716","","","2","2","0","1","1","0","1","0","0","0","0","無","無","無","00:00:00","23:59:00","","","",""
"131083","131083C00034","江東区","江東区立浜園橋際公衆便所","コウトウクリツハマゾノバシギワコウシュウベンジョ","Public_toilet_at_Hamazono-Bridge_KotoCity","131083","","東京都江東区塩浜1-3-24","東京都","江東区","塩浜1丁目","3-24","","浜園橋南東詰め","35.662402","139.799370","","","1","1","0","0","0","0","0","1","0","1","0","無","無","無","00:00:00","23:59:00","","","",""
"131083","131083C00035","江東区","江東区立浜園公園内公衆便所","コウトウクリツハマゾノコウエンナイコウシュウベンジョ","Public_toilet_in_Hamazono-Park_KotoCity","131083","","東京都江東区塩浜1-4-4","東京都","江東区","塩浜1丁目","4-4","","浜園公園内","35.661871","139.802129","","","1","1","0","0","1","1","0","0","0","0","1","有","有","無","00:00:00","23:59:00","","","",""
"131083","131083C00036","江東区","江東区立塩浜一丁目公園内公衆便所","コウトウクリツシオハマイチチョウメコウエンナイコウシュウベンジョ","Public_toilet_in_Shiohama1-Park_KotoCity","131083","","東京都江東区塩浜1-5-5","東京都","江東区","塩浜1丁目","5-5","","塩浜一丁目公園内","35.659569","139.801381","","","2","2","0","0","0","0","0","2","1","1","0","無","無","無","00:00:00","23:59:00","","","",""
"131083","131083C00037","江東区","江東区立塩浜公園内公衆便所","コウトウクリツシオハマコウエンナイコウシュウベンジョ","Public_toilet_in_Shiohama-Park_KotoCity","131083","","東京都江東区塩浜2-10-14","東京都","江東区","塩浜2丁目","10-14","","塩浜公園内","35.664015","139.808891","","","1","1","0","0","1","1","0","0","0","0","1","有","有","有","00:00:00","23:59:00","","","",""
"131083","131083C00038","江東区","江東区立塩浜二丁目第二公園内公衆便所","コウトウクリツシオハマニチョウメダイニコウエンナイコウシュウベンジョ","Public_toilet_in_Shiohama2-dai2-Park_KotoCity","131083","","東京都江東区塩浜2-17-8","東京都","江東区","塩浜2丁目","17-8","","塩浜二丁目第二公園内","35.662333","139.810215","","","1","1","0","0","0","0","0","0","0","0","1","有","有","有","00:00:00","23:59:00","","","",""
"131083","131083C00039","江東区","江東区立しおかぜ橋塩浜公園内公衆便所","コウトウクリツシオカゼバシシオハマコウエンナイコウシュウベンジョ","Public_toilet_in_Shiokazebashishiohama-Park_KotoCity","131083","","東京都江東区塩浜2-18-4","東京都","江東区","塩浜2丁目","18-4","","しおかぜ橋塩浜公園内","35.662039","139.811030","","","2","2","0","0","0","0","0","1","0","1","0","無","無","無","00:00:00","23:59:00","","","",""
"131083","131083C00040","江東区","江東区立塩浜二丁目公園内公衆便所","コウトウクリツシオハマニチョウメコウエンナイコウシュウベンジョ","Public_toilet_in_Shiohama2-Park_KotoCity","131083","","東京都江東区塩浜2-25-16","東京都","江東区","塩浜2丁目","25-16","","塩浜二丁目公園内","35.664624","139.814968","","","1","1","0","0","0","0","0","0","0","0","1","有","無","有","00:00:00","23:59:00","","","",""
