公衆・公園トイレ,公衆・公園トイレ,大正公園トイレ,入谷２−２３−１１,０３−５２４６−１３２１,男女兼用、だれでもトイレ、ベビーシート,139.7877646,35.72107817
公衆・公園トイレ,公衆・公園トイレ,今戸公園トイレ,今戸２−２４−１,０３−５２４６−１３２１,男女兼用,139.8061946,35.72136292
公衆・公園トイレ,公衆・公園トイレ,京町公園トイレ,千束３−２６−１８,０３−５２４６−１３２１,男女兼用,139.7945503,35.72206378
公衆・公園トイレ,公衆・公園トイレ,橋場公園トイレ,橋場２−１９−７,０３−５２４６−１３２１,男女兼用,139.8072971,35.72785755
公衆・公園トイレ,公衆・公園トイレ,吉原公園トイレ,千束４−４０−６,０３−５２４６−１３２１,男女兼用,139.7952945,35.72500941
公衆・公園トイレ,公衆・公園トイレ,花園公園トイレ,男女兼用,０３−５２４６−１３２１,男女兼用,139.7927631,35.72219562
公衆・公園トイレ,公衆・公園トイレ,根岸公園トイレ,根岸４−１６−２３,０３−５２４６−１３２１,男女兼用,139.7855527,35.72566009
公衆・公園トイレ,公衆・公園トイレ,谷中清水町公園トイレ,谷中１−１−３２,０３−５２４６−１３２１,男女兼用、だれでもトイレ,139.7692687,35.72039134
公衆・公園トイレ,公衆・公園トイレ,岡倉天心記念公園トイレ,谷中５−７−１０,０３−５２４６−１３２１,男女兼用,139.7663588,35.72631593
公衆・公園トイレ,公衆・公園トイレ,隅田公園1号トイレ,花川戸１−１（吾妻橋）,０３−５２４６−１３２１,男性用、女性用、だれでもトイレ、ベビーシート、ベビーチェア、簡易型オストメイト,139.7983456,35.71078918
公衆・公園トイレ,公衆・公園トイレ,隅田公園休憩所トイレ,花川戸１−１（東武鉄橋脇）,０３−５２４６−１３２１,男性用、女性用、だれでもトイレ、ベビーシート、ベビーチェア、簡易型オストメイト,139.8001751,35.7129136
公衆・公園トイレ,公衆・公園トイレ,隅田公園2号トイレ,花川戸２−１（言問橋）,０３−５２４６−１３２１,男性用、女性用、だれでもトイレ、ベビーシート、ベビーチェア、簡易型オストメイト,139.8023503,35.71457058
公衆・公園トイレ,公衆・公園トイレ,隅田公園4号トイレ,浅草７−１（山谷掘広場脇）,０３−５２４６−１３２１,男性用、女性用、だれでもトイレ、ベビーシート、ベビーチェア、簡易型オストメイト,139.8037174,35.71671192
公衆・公園トイレ,公衆・公園トイレ,隅田公園3号トイレ,今戸１−１（野球場前）,０３−５２４６−１３２１,男女兼用,139.8055475,35.7194338
公衆・公園トイレ,公衆・公園トイレ,天王寺公園トイレ,男女兼用,０３−５２４６−１３２１,男女兼用,139.770551,35.72736048
公衆・公園トイレ,公衆・公園トイレ,山谷堀公園トイレ,浅草６−４５−１２（吉野橋）,０３−５２４６−１３２１,男女兼用,139.8016739,35.71914076
公衆・公園トイレ,公衆・公園トイレ,金曾木公園トイレ,根岸４−１６−１４,０３−５２４６−１３２１,男女兼用、だれでもトイレ,139.784463,35.7258412
公衆・公園トイレ,公衆・公園トイレ,浅草橋公園トイレ,浅草橋１−１−１５,０３−５２４６−１３２１,男性用、女性用,139.7851789,35.69621973
公衆・公園トイレ,公衆・公園トイレ,御蔵前公園トイレ,蔵前１−４−８,０３−５２４６−１３２１,男性用、女性用、だれでもトイレ、ベビーシート、ベビーチェア,139.7895121,35.70033443
公衆・公園トイレ,公衆・公園トイレ,黒門児童遊園トイレ,上野１−１９−３,０３−５２４６−１３２１,男女兼用,139.7722664,35.70664824
公衆・公園トイレ,公衆・公園トイレ,浅草公会堂施設内トイレ,台東区浅草1丁目38番6号,,,139.7952377,35.71263164
公衆・公園トイレ,公衆・公園トイレ,東上野地区センター施設内トイレ,台東区東上野3丁目24番6号,,,139.7795556,35.71130523
公衆・公園トイレ,公衆・公園トイレ,上野地区センター施設内トイレ,池之端1丁目1番12号,,,139.7694099,35.70931161
公衆・公園トイレ,公衆・公園トイレ,雷門地区センター施設内トイレ,浅草1丁目37番3号,,,139.796195,35.71261835
公衆・公園トイレ,公衆・公園トイレ,江戸たいとう伝統工芸館施設内トイレ,浅草2丁目22番13号,,,139.7938306,35.71637525
公衆・公園トイレ,公衆・公園トイレ,台東区谷中防災コミュニティセンター施設内トイレ,谷中5丁目6番5号,,,139.7668753,35.72563083
